,black,boy,read,math,star,freelun,teacher_experience,test_score,sc_freelun,sc_black
2985,1,0,637.0,626.0,0,0,4.0,1263.0,0,0
2986,0,1,618.0,577.0,0,1,12.0,1195.0,0,0
2988,1,1,557.0,563.0,0,1,9.0,1120.0,0,0
2991,0,0,577.0,659.0,1,0,32.0,1236.0,0,0
2992,0,0,643.0,632.0,0,1,19.0,1275.0,0,0
2996,0,0,622.0,648.0,0,0,10.0,1270.0,0,0
2997,0,1,502.0,535.0,0,1,2.0,1037.0,0,0
2998,1,1,502.0,554.0,0,1,31.0,1056.0,0,0
3000,0,0,618.0,593.0,0,1,31.0,1211.0,0,0
3002,0,0,518.0,548.0,0,0,10.0,1066.0,0,0
3003,1,1,500.0,504.0,0,1,11.0,1004.0,0,0
3004,1,0,542.0,550.0,0,0,13.0,1092.0,0,0
3005,0,1,571.0,540.0,1,1,32.0,1111.0,1,0
3007,0,0,599.0,584.0,1,0,5.0,1183.0,0,0
3010,1,1,506.0,559.0,0,1,4.0,1065.0,0,0
3013,1,0,566.0,570.0,0,1,10.0,1136.0,0,0
3015,0,0,577.0,563.0,1,0,12.0,1140.0,0,0
3020,0,1,547.0,550.0,0,0,15.0,1097.0,0,0
3025,0,1,571.0,582.0,1,0,15.0,1153.0,0,0
3026,1,0,539.0,497.0,0,1,32.0,1036.0,0,0
3027,0,0,684.0,674.0,0,0,15.0,1358.0,0,0
3029,0,1,618.0,620.0,0,0,9.0,1238.0,0,0
3032,0,0,575.0,570.0,0,0,12.0,1145.0,0,0
3033,0,1,650.0,593.0,0,1,17.0,1243.0,0,0
3035,1,1,538.0,572.0,1,1,2.0,1110.0,1,1
3039,0,1,627.0,590.0,0,1,13.0,1217.0,0,0
3040,0,0,643.0,626.0,0,1,20.0,1269.0,0,0
3041,0,1,538.0,599.0,1,0,1.0,1137.0,0,0
3042,0,1,514.0,520.0,0,1,15.0,1034.0,0,0
3044,0,1,631.0,639.0,0,0,0.0,1270.0,0,0
3045,1,0,512.0,584.0,1,1,12.0,1096.0,1,1
3046,1,0,555.0,546.0,0,1,22.0,1101.0,0,0
3048,0,0,631.0,632.0,0,0,13.0,1263.0,0,0
3049,0,1,596.0,570.0,0,1,12.0,1166.0,0,0
3050,1,0,506.0,497.0,0,1,11.0,1003.0,0,0
3051,1,1,523.0,561.0,0,1,16.0,1084.0,0,0
3052,0,0,684.0,648.0,0,0,18.0,1332.0,0,0
3053,0,1,588.0,603.0,0,0,23.0,1191.0,0,0
3054,0,0,514.0,528.0,1,1,0.0,1042.0,1,0
3055,1,1,643.0,568.0,0,0,4.0,1211.0,0,0
3056,0,0,514.0,507.0,0,1,23.0,1021.0,0,0
3057,1,1,564.0,559.0,0,1,3.0,1123.0,0,0
3060,0,0,586.0,584.0,0,0,9.0,1170.0,0,0
3061,1,0,559.0,550.0,0,1,31.0,1109.0,0,0
3062,0,1,602.0,615.0,0,1,8.0,1217.0,0,0
3064,1,1,562.0,554.0,1,1,8.0,1116.0,1,1
3066,1,0,571.0,554.0,0,0,22.0,1125.0,0,0
3067,1,0,577.0,593.0,0,1,16.0,1170.0,0,0
3068,0,1,618.0,557.0,0,0,18.0,1175.0,0,0
3070,0,1,684.0,632.0,1,0,16.0,1316.0,0,0
3077,0,0,552.0,552.0,0,0,8.0,1104.0,0,0
3078,0,1,523.0,545.0,0,0,1.0,1068.0,0,0
3080,0,0,569.0,599.0,0,0,15.0,1168.0,0,0
3083,1,1,555.0,563.0,0,1,12.0,1118.0,0,0
3084,1,1,559.0,552.0,0,0,7.0,1111.0,0,0
3086,0,0,650.0,648.0,0,0,22.0,1298.0,0,0
3087,1,1,582.0,579.0,0,1,16.0,1161.0,0,0
3088,0,1,614.0,548.0,0,0,15.0,1162.0,0,0
3092,1,0,573.0,545.0,0,1,7.0,1118.0,0,0
3097,0,1,650.0,607.0,0,0,4.0,1257.0,0,0
3098,0,1,538.0,514.0,0,1,18.0,1052.0,0,0
3099,0,0,604.0,582.0,0,0,1.0,1186.0,0,0
3100,0,1,520.0,471.0,0,0,30.0,991.0,0,0
3101,0,0,575.0,632.0,0,0,15.0,1207.0,0,0
3102,1,0,529.0,510.0,0,1,6.0,1039.0,0,0
3103,0,0,608.0,611.0,0,1,15.0,1219.0,0,0
3104,1,0,494.0,471.0,0,1,7.0,965.0,0,0
3106,0,1,599.0,579.0,0,1,15.0,1178.0,0,0
3110,1,0,577.0,577.0,0,1,35.0,1154.0,0,0
3111,0,1,669.0,699.0,1,1,14.0,1368.0,1,0
3112,0,0,579.0,596.0,1,0,35.0,1175.0,0,0
3113,0,0,596.0,607.0,1,0,28.0,1203.0,0,0
3114,1,0,539.0,546.0,0,1,17.0,1085.0,0,0
3115,1,1,547.0,570.0,0,1,4.0,1117.0,0,0
3117,0,1,554.0,590.0,1,1,0.0,1144.0,1,0
3120,0,0,571.0,603.0,0,0,34.0,1174.0,0,0
3123,0,0,627.0,615.0,0,0,12.0,1242.0,0,0
3124,0,1,517.0,514.0,1,0,9.0,1031.0,0,0
3125,0,1,552.0,548.0,0,1,13.0,1100.0,0,0
3126,1,1,637.0,659.0,0,1,33.0,1296.0,0,0
3127,0,1,631.0,632.0,1,0,16.0,1263.0,0,0
3129,0,1,602.0,559.0,0,1,19.0,1161.0,0,0
3130,0,1,684.0,659.0,1,0,14.0,1343.0,0,0
3133,1,1,560.0,587.0,1,0,5.0,1147.0,0,1
3134,0,1,560.0,548.0,0,0,2.0,1108.0,0,0
3135,1,1,604.0,570.0,0,0,10.0,1174.0,0,0
3138,0,0,684.0,648.0,0,0,15.0,1332.0,0,0
3139,0,1,541.0,582.0,0,0,9.0,1123.0,0,0
3151,0,0,571.0,593.0,0,1,19.0,1164.0,0,0
3152,1,1,591.0,577.0,1,0,18.0,1168.0,0,1
3154,0,1,659.0,632.0,0,0,19.0,1291.0,0,0
3155,0,1,709.0,699.0,0,0,11.0,1408.0,0,0
3156,0,1,569.0,599.0,0,1,20.0,1168.0,0,0
3158,0,0,608.0,596.0,1,1,11.0,1204.0,1,0
3160,1,0,577.0,565.0,0,1,1.0,1142.0,0,0
3162,0,0,602.0,590.0,0,1,25.0,1192.0,0,0
3164,0,1,637.0,611.0,0,1,6.0,1248.0,0,0
3170,0,1,545.0,550.0,0,0,11.0,1095.0,0,0
3173,0,0,684.0,599.0,0,0,8.0,1283.0,0,0
3175,1,1,604.0,611.0,0,1,5.0,1215.0,0,0
3177,0,0,669.0,721.0,1,0,14.0,1390.0,0,0
3178,0,1,554.0,546.0,0,0,14.0,1100.0,0,0
3179,1,0,627.0,596.0,0,1,2.0,1223.0,0,0
3180,0,1,643.0,648.0,0,0,1.0,1291.0,0,0
3181,0,0,586.0,536.0,1,1,14.0,1122.0,1,0
3182,0,0,542.0,525.0,0,1,8.0,1067.0,0,0
3184,0,0,684.0,639.0,0,0,6.0,1323.0,0,0
3185,0,0,549.0,577.0,0,0,12.0,1126.0,0,0
3190,0,1,532.0,536.0,1,1,0.0,1068.0,1,0
3191,1,1,544.0,526.0,1,1,8.0,1070.0,1,1
3198,1,1,643.0,639.0,0,1,19.0,1282.0,0,0
3203,0,1,544.0,520.0,0,0,30.0,1064.0,0,0
3206,1,0,566.0,568.0,0,1,4.0,1134.0,0,0
3207,0,1,555.0,599.0,0,1,19.0,1154.0,0,0
3210,0,1,599.0,570.0,1,0,1.0,1169.0,0,0
3215,0,0,627.0,607.0,1,0,12.0,1234.0,0,0
3218,1,0,559.0,533.0,0,1,3.0,1092.0,0,0
3219,0,1,554.0,522.0,0,0,11.0,1076.0,0,0
3222,1,1,582.0,554.0,1,1,18.0,1136.0,1,1
3225,0,0,631.0,632.0,0,1,17.0,1263.0,0,0
3227,0,0,549.0,561.0,0,0,34.0,1110.0,0,0
3230,1,1,559.0,545.0,0,1,8.0,1104.0,0,0
3231,1,1,577.0,620.0,1,1,8.0,1197.0,1,1
3233,1,1,560.0,557.0,0,1,9.0,1117.0,0,0
3234,1,1,586.0,535.0,0,1,18.0,1121.0,0,0
3237,0,1,602.0,584.0,0,1,14.0,1186.0,0,0
3238,0,0,614.0,648.0,1,0,17.0,1262.0,0,0
3242,1,0,566.0,579.0,1,1,14.0,1145.0,1,1
3243,1,1,582.0,596.0,1,0,6.0,1178.0,0,1
3244,0,0,659.0,699.0,0,0,15.0,1358.0,0,0
3245,0,0,550.0,570.0,0,0,13.0,1120.0,0,0
3246,0,0,520.0,531.0,0,0,19.0,1051.0,0,0
3247,0,1,631.0,626.0,1,1,33.0,1257.0,1,0
3248,0,1,637.0,648.0,1,0,6.0,1285.0,0,0
3251,1,1,584.0,550.0,0,1,31.0,1134.0,0,0
3253,0,1,602.0,587.0,1,0,15.0,1189.0,0,0
3254,0,0,573.0,574.0,1,1,17.0,1147.0,1,0
3257,1,1,559.0,579.0,0,1,0.0,1138.0,0,0
3259,1,0,604.0,565.0,0,1,10.0,1169.0,0,0
3260,1,0,637.0,615.0,0,0,4.0,1252.0,0,0
3261,0,0,614.0,603.0,0,0,15.0,1217.0,0,0
3265,1,1,602.0,579.0,1,0,4.0,1181.0,0,1
3266,0,1,631.0,659.0,0,0,17.0,1290.0,0,0
3268,1,0,566.0,599.0,0,1,24.0,1165.0,0,0
3273,1,1,542.0,559.0,1,0,8.0,1101.0,0,1
3274,1,0,566.0,533.0,0,1,19.0,1099.0,0,0
3275,0,0,599.0,579.0,0,0,8.0,1178.0,0,0
3277,1,1,614.0,590.0,0,1,12.0,1204.0,0,0
3280,0,1,637.0,587.0,1,0,15.0,1224.0,0,0
3281,0,0,552.0,579.0,0,0,19.0,1131.0,0,0
3282,1,1,538.0,587.0,0,1,6.0,1125.0,0,0
3283,1,0,568.0,572.0,0,1,11.0,1140.0,0,0
3284,0,1,614.0,639.0,1,0,7.0,1253.0,0,0
3286,0,1,631.0,607.0,0,0,8.0,1238.0,0,0
3287,0,0,552.0,543.0,0,0,13.0,1095.0,0,0
3288,0,0,569.0,574.0,0,0,16.0,1143.0,0,0
3292,0,1,555.0,584.0,1,0,14.0,1139.0,0,0
3294,0,0,571.0,659.0,1,1,23.0,1230.0,1,0
3295,0,1,684.0,639.0,0,0,12.0,1323.0,0,0
3296,1,1,622.0,620.0,1,1,13.0,1242.0,1,1
3297,1,1,622.0,570.0,0,1,7.0,1192.0,0,0
3298,0,0,497.0,517.0,0,1,22.0,1014.0,0,0
3304,0,0,684.0,626.0,0,0,12.0,1310.0,0,0
3305,1,1,562.0,533.0,0,1,3.0,1095.0,0,0
3308,0,1,517.0,545.0,0,1,7.0,1062.0,0,0
3309,1,1,560.0,587.0,0,0,15.0,1147.0,0,0
3310,0,1,631.0,570.0,1,0,15.0,1201.0,0,0
3311,0,1,523.0,579.0,0,0,19.0,1102.0,0,0
3312,0,1,559.0,536.0,1,0,22.0,1095.0,0,0
3313,0,1,524.0,469.0,1,1,23.0,993.0,1,0
3314,0,0,555.0,545.0,0,0,31.0,1100.0,0,0
3317,0,1,569.0,546.0,0,0,29.0,1115.0,0,0
3319,0,0,637.0,596.0,0,0,15.0,1233.0,0,0
3320,0,0,618.0,577.0,0,0,33.0,1195.0,0,0
3322,0,1,608.0,674.0,0,0,19.0,1282.0,0,0
3324,1,0,523.0,535.0,0,1,11.0,1058.0,0,0
3326,0,1,571.0,570.0,1,0,14.0,1141.0,0,0
3328,0,1,547.0,620.0,1,0,14.0,1167.0,0,0
3331,0,1,732.0,639.0,0,0,8.0,1371.0,0,0
3332,0,1,684.0,674.0,1,0,16.0,1358.0,0,0
3333,0,0,569.0,611.0,1,0,10.0,1180.0,0,0
3335,0,1,569.0,548.0,0,0,12.0,1117.0,0,0
3336,1,0,564.0,572.0,0,0,2.0,1136.0,0,0
3337,0,0,566.0,559.0,0,1,11.0,1125.0,0,0
3339,0,0,559.0,565.0,1,1,8.0,1124.0,1,0
3342,0,1,627.0,626.0,1,0,15.0,1253.0,0,0
3343,0,1,523.0,565.0,1,0,0.0,1088.0,0,0
3344,1,1,586.0,545.0,0,1,2.0,1131.0,0,0
3345,0,1,486.0,455.0,1,0,9.0,941.0,0,0
3346,0,0,532.0,525.0,0,1,2.0,1057.0,0,0
3347,1,0,529.0,509.0,0,1,12.0,1038.0,0,0
3350,0,1,579.0,579.0,0,0,11.0,1158.0,0,0
3351,1,0,538.0,561.0,0,1,25.0,1099.0,0,0
3353,1,1,582.0,584.0,0,0,15.0,1166.0,0,0
3354,0,1,566.0,577.0,0,0,6.0,1143.0,0,0
3356,0,0,622.0,674.0,0,0,1.0,1296.0,0,0
3358,1,0,502.0,509.0,0,1,0.0,1011.0,0,0
3362,1,1,552.0,572.0,0,0,12.0,1124.0,0,0
3365,1,1,533.0,540.0,0,1,16.0,1073.0,0,0
3366,1,0,530.0,525.0,0,1,32.0,1055.0,0,0
3368,0,1,530.0,523.0,0,0,6.0,1053.0,0,0
3370,0,1,650.0,599.0,1,0,23.0,1249.0,0,0
3371,1,1,532.0,579.0,0,1,1.0,1111.0,0,0
3372,0,1,582.0,626.0,0,1,15.0,1208.0,0,0
3375,1,1,659.0,699.0,0,0,18.0,1358.0,0,0
3377,0,0,637.0,699.0,0,0,4.0,1336.0,0,0
3383,1,0,650.0,639.0,1,1,19.0,1289.0,1,1
3384,0,1,582.0,563.0,0,0,15.0,1145.0,0,0
3386,0,0,502.0,557.0,0,1,12.0,1059.0,0,0
3388,1,0,577.0,512.0,0,1,32.0,1089.0,0,0
3389,0,1,637.0,615.0,0,0,12.0,1252.0,0,0
3390,0,0,579.0,593.0,1,1,0.0,1172.0,1,0
3392,1,1,611.0,611.0,0,1,3.0,1222.0,0,0
3395,1,1,582.0,590.0,0,1,25.0,1172.0,0,0
3399,1,1,573.0,582.0,0,1,9.0,1155.0,0,0
3400,1,0,562.0,615.0,0,1,4.0,1177.0,0,0
3401,1,1,555.0,582.0,0,1,10.0,1137.0,0,0
3402,1,0,514.0,512.0,0,1,30.0,1026.0,0,0
3404,0,0,637.0,615.0,0,0,15.0,1252.0,0,0
3405,0,0,588.0,568.0,0,0,8.0,1156.0,0,0
3406,1,1,611.0,528.0,0,0,10.0,1139.0,0,0
3407,1,1,604.0,590.0,1,1,19.0,1194.0,1,1
3408,0,0,568.0,552.0,0,0,23.0,1120.0,0,0
3410,0,1,586.0,574.0,1,0,9.0,1160.0,0,0
3411,0,1,614.0,590.0,0,0,17.0,1204.0,0,0
3414,1,1,532.0,611.0,1,1,14.0,1143.0,1,1
3415,1,0,586.0,556.0,1,1,31.0,1142.0,1,1
3418,0,0,554.0,541.0,0,1,1.0,1095.0,0,0
3420,0,1,541.0,599.0,0,0,2.0,1140.0,0,0
3423,0,0,622.0,639.0,0,0,2.0,1261.0,0,0
3428,1,1,559.0,570.0,0,0,4.0,1129.0,0,0
3434,0,1,622.0,659.0,0,0,14.0,1281.0,0,0
3435,1,0,560.0,518.0,0,1,8.0,1078.0,0,0
3436,0,1,618.0,620.0,0,0,7.0,1238.0,0,0
3437,0,0,650.0,632.0,0,0,31.0,1282.0,0,0
3438,0,1,545.0,559.0,0,0,31.0,1104.0,0,0
3439,0,1,604.0,620.0,0,1,4.0,1224.0,0,0
3440,0,0,547.0,568.0,0,0,25.0,1115.0,0,0
3441,0,1,559.0,570.0,0,0,8.0,1129.0,0,0
3443,0,0,614.0,593.0,0,1,6.0,1207.0,0,0
3444,1,1,547.0,526.0,0,1,8.0,1073.0,0,0
3445,0,1,627.0,648.0,0,0,6.0,1275.0,0,0
3446,0,1,533.0,510.0,1,1,25.0,1043.0,1,0
3448,1,1,517.0,548.0,0,1,31.0,1065.0,0,0
3449,0,0,631.0,582.0,1,1,25.0,1213.0,1,0
3453,0,1,631.0,648.0,0,0,9.0,1279.0,0,0
3454,0,1,503.0,574.0,0,0,19.0,1077.0,0,0
3457,0,0,684.0,574.0,0,0,17.0,1258.0,0,0
3458,0,0,650.0,626.0,0,0,1.0,1276.0,0,0
3459,0,0,591.0,540.0,0,0,23.0,1131.0,0,0
3460,0,0,611.0,599.0,0,0,15.0,1210.0,0,0
3464,0,0,643.0,552.0,0,1,15.0,1195.0,0,0
3466,1,0,564.0,587.0,1,1,8.0,1151.0,1,1
3469,0,1,602.0,582.0,0,0,9.0,1184.0,0,0
3474,1,0,577.0,584.0,0,1,8.0,1161.0,0,0
3475,0,1,568.0,639.0,0,1,13.0,1207.0,0,0
3478,0,1,579.0,563.0,0,1,15.0,1142.0,0,0
3479,1,1,588.0,648.0,0,1,0.0,1236.0,0,0
3480,0,0,659.0,659.0,0,0,16.0,1318.0,0,0
3482,1,1,547.0,530.0,0,1,7.0,1077.0,0,0
3483,1,1,593.0,626.0,1,1,4.0,1219.0,1,1
3484,1,1,608.0,538.0,1,1,16.0,1146.0,1,1
3485,1,0,575.0,570.0,0,1,14.0,1145.0,0,0
3486,0,0,650.0,632.0,1,1,21.0,1282.0,1,0
3493,0,0,591.0,557.0,0,0,19.0,1148.0,0,0
3496,1,0,568.0,639.0,0,1,4.0,1207.0,0,0
3501,0,1,579.0,587.0,0,1,27.0,1166.0,0,0
3502,1,1,611.0,574.0,0,1,0.0,1185.0,0,0
3506,0,1,564.0,570.0,1,0,14.0,1134.0,0,0
3507,0,0,604.0,639.0,0,1,19.0,1243.0,0,0
3508,0,0,586.0,607.0,0,1,9.0,1193.0,0,0
3511,1,0,579.0,572.0,1,1,26.0,1151.0,1,1
3513,0,1,669.0,626.0,1,0,8.0,1295.0,0,0
3514,0,1,659.0,674.0,0,0,6.0,1333.0,0,0
3517,0,0,559.0,572.0,0,0,12.0,1131.0,0,0
3518,0,1,539.0,552.0,0,0,29.0,1091.0,0,0
3521,0,0,539.0,483.0,0,0,10.0,1022.0,0,0
3524,0,0,577.0,579.0,0,0,12.0,1156.0,0,0
3527,1,0,547.0,541.0,0,1,2.0,1088.0,0,0
3529,0,0,650.0,615.0,0,1,6.0,1265.0,0,0
3532,0,0,506.0,512.0,1,1,15.0,1018.0,1,0
3533,1,0,526.0,557.0,1,1,8.0,1083.0,1,1
3535,0,1,588.0,563.0,0,1,6.0,1151.0,0,0
3540,1,1,511.0,494.0,0,1,8.0,1005.0,0,0
3541,0,1,550.0,607.0,1,0,18.0,1157.0,0,0
3543,0,1,582.0,565.0,0,0,3.0,1147.0,0,0
3544,1,1,511.0,570.0,0,0,31.0,1081.0,0,0
3547,0,1,608.0,596.0,0,0,23.0,1204.0,0,0
3550,0,1,659.0,584.0,0,0,7.0,1243.0,0,0
3552,0,0,564.0,593.0,0,1,20.0,1157.0,0,0
3553,0,0,631.0,607.0,0,1,4.0,1238.0,0,0
3554,0,1,614.0,626.0,0,0,10.0,1240.0,0,0
3556,0,0,582.0,559.0,0,0,8.0,1141.0,0,0
3559,0,0,669.0,639.0,1,0,20.0,1308.0,0,0
3561,1,1,532.0,568.0,0,0,8.0,1100.0,0,0
3564,1,1,564.0,526.0,0,1,16.0,1090.0,0,0
3565,0,0,669.0,626.0,1,0,5.0,1295.0,0,0
3567,0,1,637.0,593.0,0,0,10.0,1230.0,0,0
3569,0,0,593.0,603.0,0,0,20.0,1196.0,0,0
3572,0,1,562.0,577.0,1,1,10.0,1139.0,1,0
3573,0,1,538.0,563.0,0,1,19.0,1101.0,0,0
3574,0,1,643.0,596.0,1,0,9.0,1239.0,0,0
3575,0,0,588.0,570.0,1,1,15.0,1158.0,1,0
3579,0,1,631.0,550.0,0,1,15.0,1181.0,0,0
3582,1,1,573.0,593.0,0,1,29.0,1166.0,0,0
3583,1,1,530.0,554.0,0,1,7.0,1084.0,0,0
3584,0,1,684.0,579.0,0,0,22.0,1263.0,0,0
3585,1,1,608.0,561.0,0,1,12.0,1169.0,0,0
3586,0,0,631.0,632.0,0,0,10.0,1263.0,0,0
3587,1,1,562.0,568.0,0,1,16.0,1130.0,0,0
3588,1,1,631.0,626.0,0,1,12.0,1257.0,0,0
3589,0,1,643.0,626.0,0,0,20.0,1269.0,0,0
3590,0,1,669.0,721.0,0,0,16.0,1390.0,0,0
3591,0,1,618.0,593.0,1,0,18.0,1211.0,0,0
3592,0,1,627.0,546.0,0,0,29.0,1173.0,0,0
3593,0,1,622.0,674.0,0,0,13.0,1296.0,0,0
3594,0,1,494.0,475.0,1,0,33.0,969.0,0,0
3595,1,0,643.0,632.0,1,0,13.0,1275.0,0,1
3598,1,0,622.0,568.0,1,1,6.0,1190.0,1,1
3599,0,0,575.0,603.0,0,0,1.0,1178.0,0,0
3600,1,0,555.0,561.0,0,1,16.0,1116.0,0,0
3601,0,1,650.0,626.0,0,0,18.0,1276.0,0,0
3603,0,0,627.0,615.0,1,0,11.0,1242.0,0,0
3605,0,1,579.0,557.0,0,0,15.0,1136.0,0,0
3607,0,0,611.0,596.0,1,0,5.0,1207.0,0,0
3608,1,0,547.0,584.0,0,1,1.0,1131.0,0,0
3610,1,0,539.0,517.0,0,1,13.0,1056.0,0,0
3611,0,0,643.0,615.0,0,0,19.0,1258.0,0,0
3612,0,1,618.0,648.0,0,0,1.0,1266.0,0,0
3614,0,0,588.0,584.0,0,1,6.0,1172.0,0,0
3617,1,0,530.0,556.0,1,0,4.0,1086.0,0,1
3618,0,1,627.0,611.0,1,0,17.0,1238.0,0,0
3620,0,0,643.0,699.0,1,0,1.0,1342.0,0,0
3621,0,1,608.0,593.0,0,1,18.0,1201.0,0,0
3623,1,1,571.0,659.0,1,1,12.0,1230.0,1,1
3624,0,1,489.0,530.0,1,1,18.0,1019.0,1,0
3626,1,1,557.0,518.0,1,1,25.0,1075.0,1,1
3633,0,0,604.0,603.0,0,0,10.0,1207.0,0,0
3634,0,1,494.0,579.0,0,1,6.0,1073.0,0,0
3637,0,1,489.0,556.0,1,0,7.0,1045.0,0,0
3638,0,0,539.0,495.0,1,1,39.0,1034.0,1,0
3641,1,1,550.0,556.0,0,0,31.0,1106.0,0,0
3643,0,1,575.0,540.0,0,0,13.0,1115.0,0,0
3647,0,0,547.0,535.0,0,0,11.0,1082.0,0,0
3650,0,1,614.0,615.0,0,1,2.0,1229.0,0,0
3651,0,1,488.0,546.0,1,0,7.0,1034.0,0,0
3653,0,1,614.0,674.0,1,0,17.0,1288.0,0,0
3655,1,1,542.0,552.0,1,1,14.0,1094.0,1,1
3656,1,1,591.0,584.0,0,0,5.0,1175.0,0,0
3658,1,0,602.0,626.0,0,1,16.0,1228.0,0,0
3661,0,1,557.0,620.0,0,0,15.0,1177.0,0,0
3662,0,0,579.0,568.0,0,1,4.0,1147.0,0,0
3673,0,1,557.0,536.0,0,1,19.0,1093.0,0,0
3674,1,1,554.0,559.0,1,0,1.0,1113.0,0,1
3675,0,1,637.0,590.0,1,1,13.0,1227.0,1,0
3680,0,1,547.0,596.0,0,0,13.0,1143.0,0,0
3683,1,1,591.0,545.0,1,0,2.0,1136.0,0,1
3684,0,0,643.0,620.0,1,1,14.0,1263.0,1,0
3687,1,0,557.0,579.0,0,0,11.0,1136.0,0,0
3688,0,0,575.0,570.0,0,0,20.0,1145.0,0,0
3692,1,0,582.0,584.0,0,0,5.0,1166.0,0,0
3696,1,0,526.0,515.0,0,1,2.0,1041.0,0,0
3697,1,1,604.0,596.0,1,0,33.0,1200.0,0,1
3700,0,0,637.0,615.0,0,0,15.0,1252.0,0,0
3702,0,0,643.0,674.0,0,0,15.0,1317.0,0,0
3703,1,1,593.0,557.0,0,1,18.0,1150.0,0,0
3704,0,1,627.0,648.0,0,1,2.0,1275.0,0,0
3705,1,0,521.0,515.0,0,1,4.0,1036.0,0,0
3707,1,1,539.0,533.0,0,0,5.0,1072.0,0,0
3710,1,1,571.0,561.0,0,1,13.0,1132.0,0,0
3713,0,1,515.0,541.0,0,1,13.0,1056.0,0,0
3715,0,1,517.0,550.0,0,0,26.0,1067.0,0,0
3718,0,1,582.0,568.0,1,1,23.0,1150.0,1,0
3721,0,0,571.0,620.0,1,1,15.0,1191.0,1,0
3722,1,1,544.0,574.0,1,1,1.0,1118.0,1,1
3723,0,0,669.0,699.0,0,0,8.0,1368.0,0,0
3726,0,1,684.0,639.0,0,0,12.0,1323.0,0,0
3727,1,1,505.0,518.0,0,1,30.0,1023.0,0,0
3728,0,0,577.0,554.0,0,1,19.0,1131.0,0,0
3729,1,1,611.0,599.0,1,1,19.0,1210.0,1,1
3733,0,1,560.0,615.0,0,0,25.0,1175.0,0,0
3736,0,0,602.0,599.0,0,0,25.0,1201.0,0,0
3737,0,0,559.0,577.0,0,0,19.0,1136.0,0,0
3738,0,0,545.0,584.0,0,0,12.0,1129.0,0,0
3739,1,0,523.0,507.0,0,1,0.0,1030.0,0,0
3740,0,0,588.0,568.0,0,1,20.0,1156.0,0,0
3741,1,0,596.0,615.0,0,1,10.0,1211.0,0,0
3745,0,0,650.0,699.0,1,0,5.0,1349.0,0,0
3746,1,1,604.0,648.0,1,1,10.0,1252.0,1,1
3747,0,0,577.0,593.0,0,0,23.0,1170.0,0,0
3748,0,1,549.0,495.0,1,0,21.0,1044.0,0,0
3749,0,1,643.0,639.0,1,1,5.0,1282.0,1,0
3750,0,0,573.0,546.0,0,0,12.0,1119.0,0,0
3751,0,1,659.0,582.0,0,0,17.0,1241.0,0,0
3753,0,1,604.0,607.0,0,0,22.0,1211.0,0,0
3757,1,0,579.0,543.0,0,1,10.0,1122.0,0,0
3758,1,0,549.0,590.0,0,0,15.0,1139.0,0,0
3761,0,0,650.0,615.0,0,0,12.0,1265.0,0,0
3762,1,0,631.0,674.0,0,1,18.0,1305.0,0,0
3763,1,1,557.0,570.0,0,1,10.0,1127.0,0,0
3764,0,0,564.0,559.0,0,1,2.0,1123.0,0,0
3765,0,0,530.0,540.0,0,1,20.0,1070.0,0,0
3766,0,1,502.0,574.0,0,0,22.0,1076.0,0,0
3767,0,1,599.0,659.0,0,1,8.0,1258.0,0,0
3768,1,0,533.0,548.0,0,1,4.0,1081.0,0,0
3769,0,0,555.0,522.0,0,0,11.0,1077.0,0,0
3771,1,1,611.0,632.0,1,1,1.0,1243.0,1,1
3774,0,1,599.0,632.0,1,0,29.0,1231.0,0,0
3775,0,1,591.0,584.0,1,0,3.0,1175.0,0,0
3780,1,0,564.0,574.0,0,1,22.0,1138.0,0,0
3782,1,0,577.0,611.0,0,1,40.0,1188.0,0,0
3783,0,0,577.0,599.0,0,0,12.0,1176.0,0,0
3784,0,1,573.0,572.0,0,1,1.0,1145.0,0,0
3787,0,1,505.0,536.0,0,0,12.0,1041.0,0,0
3789,0,1,526.0,563.0,0,0,34.0,1089.0,0,0
3791,0,1,599.0,577.0,1,0,5.0,1176.0,0,0
3793,0,1,582.0,596.0,0,1,2.0,1178.0,0,0
3796,1,0,569.0,577.0,1,1,14.0,1146.0,1,1
3797,0,0,560.0,546.0,0,1,10.0,1106.0,0,0
3798,0,1,547.0,579.0,1,0,14.0,1126.0,0,0
3800,0,0,622.0,626.0,0,0,0.0,1248.0,0,0
3802,0,1,627.0,565.0,0,0,1.0,1192.0,0,0
3803,1,0,554.0,552.0,1,1,4.0,1106.0,1,1
3804,1,0,611.0,611.0,0,1,15.0,1222.0,0,0
3806,0,0,650.0,607.0,0,0,13.0,1257.0,0,0
3807,0,0,591.0,584.0,0,1,9.0,1175.0,0,0
3808,0,1,571.0,603.0,0,0,15.0,1174.0,0,0
3809,0,0,627.0,603.0,0,1,18.0,1230.0,0,0
3811,0,1,569.0,536.0,1,0,11.0,1105.0,0,0
3812,1,1,622.0,626.0,0,1,3.0,1248.0,0,0
3814,0,0,520.0,531.0,0,0,6.0,1051.0,0,0
3815,0,1,643.0,699.0,0,0,8.0,1342.0,0,0
3819,0,0,569.0,639.0,1,0,9.0,1208.0,0,0
3821,1,1,521.0,559.0,0,1,4.0,1080.0,0,0
3822,0,0,669.0,639.0,0,0,6.0,1308.0,0,0
3823,0,0,560.0,552.0,0,1,13.0,1112.0,0,0
